x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89630.8766594,43131.2074836,0.0,0.4158942941701433,0.0,0.0,0.9094129623425863,20.0
89630.2198052,43131.96715,0.0,0.4161676604598465,0.0,0.0,0.9092878963163306,20.0
89629.5672529,43132.7227589,0.0,0.4171647279856069,0.0,0.0,0.9088308917090652,20.0
89628.9201501,43133.4753889,0.0,0.4187997905572452,0.0,0.0,0.9080785954030672,20.0
89628.2700722,43134.2370079,0.0,0.42049547809422494,0.0,0.0,0.907294634009432,20.0
89627.6249239,43134.9985957,0.0,0.4220402522817774,0.0,0.0,0.9065770929457316,20.0
89626.9845064,43135.7598418,0.0,0.4234600641948933,0.0,0.0,0.90591477194715,20.0
89626.3446041,43136.5253317,0.0,0.4249394411492803,0.0,0.0,0.9052217802040212,20.0
89625.7071972,43137.2929192,0.0,0.4265403156963979,0.0,0.0,0.9044685506338057,20.0
89625.0722172,43138.0631129,0.0,0.42833591181338904,0.0,0.0,0.9036195807146903,20.0
89624.441289,43138.8346156,0.0,0.4308586430255023,0.0,0.0,0.9024194311572766,20.0
89623.813928,43139.6105631,0.0,0.434318784330118,0.0,0.0,0.9007592317473124,20.0
89623.1914534,43140.39267,0.0,0.43862553694087236,0.0,0.0,0.8986699273611705,20.0
89622.5768151,43141.1802898,0.0,0.44320945325162847,0.0,0.0,0.8964180835683719,20.0
89621.9703582,43141.9740098,0.0,0.4478437335581064,0.0,0.0,0.894111844409152,20.0
89621.3729818,43142.7728546,0.0,0.4526066453205021,0.0,0.0,0.8917102806470951,20.0
89620.7818261,43143.5812203,0.0,0.457840794986815,0.0,0.0,0.8890341986930769,20.0
89620.2013349,43144.3949107,0.0,0.46370444252105975,0.0,0.0,0.8859899491451544,20.0
89619.6344343,43145.2121803,0.0,0.47022456685130964,0.0,0.0,0.882546801438597,20.0
89619.0766186,43146.0422272,0.0,0.47722746274494826,0.0,0.0,0.8787798067787055,20.0
89618.5327499,43146.8799983,0.0,0.48455753220314873,0.0,0.0,0.8747593943394918,20.0
89618.0050495,43147.7234133,0.0,0.49218775505624657,0.0,0.0,0.8704890658547597,20.0
89617.4943035,43148.5723951,0.0,0.5001963228408621,0.0,0.0,0.8659120270653827,20.0
89616.9978316,43149.4332108,0.0,0.5084847526553433,0.0,0.0,0.8610709937728911,20.0
89616.512511,43150.3133078,0.0,0.5170482431050695,0.0,0.0,0.8559562572362918,20.0
89616.0529011,43151.1875831,0.0,0.5282929521882324,0.0,0.0,0.8490621630176686,20.0
89615.6133358,43152.080126,0.0,0.5433745426415811,0.0,0.0,0.8394903849413955,20.0
89615.2001755,43153.0006226,0.0,0.561873419382669,0.0,0.0,0.8272232229520804,20.0
89614.8286923,43153.9374922,0.0,0.5821421302759454,0.0,0.0,0.8130870434078902,20.0
89614.5049292,43154.888687,0.0,0.6038885004551788,0.0,0.0,0.7970688044441304,20.0
89614.2354053,43155.8474077,0.0,0.6282135298706636,0.0,0.0,0.7780409763549995,20.0
89614.0243323,43156.8267108,0.0,0.6553093822160526,0.0,0.0,0.7553605851377311,20.0
89613.8825674,43157.8210892,0.0,0.6837692979278465,0.0,0.0,0.7296982576457614,20.0
89613.8184232,43158.8070686,0.0,0.712935503058366,0.0,0.0,0.7012296118097942,20.0
89613.8352734,43159.8248182,0.0,0.7400453221895154,0.0,0.0,0.6725570021235496,20.0
89613.9338295,43160.8539059,0.0,0.7638050527787107,0.0,0.0,0.6454470089400918,20.0
89614.0947225,43161.8050007,0.0,0.7902157096096072,0.0,0.0,0.6128287952488729,20.0
89614.3568642,43162.8251363,0.0,0.8272066552952804,0.0,0.0,0.5618978104915476,20.0
89614.7095892,43163.7148514,0.0,0.8753538770200398,0.0,0.0,0.4834827711366612,20.0
89615.1888322,43164.4766496,0.0,0.9353831702521235,0.0,0.0,0.3536358647098553,20.0
89615.9503444,43165.148479,0.0,0.967535688527357,0.0,0.0,0.252734428651684,20.0
89616.7667284,43165.6062145,0.0,0.9829429937248684,0.0,0.0,0.18391049749047333,20.0
89617.7143792,43165.9736934,0.0,0.9943850748376134,0.0,0.0,0.10582212878313255,20.0
89618.7554031,43166.1978023,0.0,0.9998669248976039,0.0,0.0,0.01631356784426663,20.0
89619.737558,43166.22986,0.0,0.9976039223110469,0.0,0.0,-0.06918391568576332,20.0
